#####################################
# Messier Data File                 #
# Hartmut Frommert, Chris Kronberg  #
#                 and Guy McArthur  #
# URL:http://www.seds.org/messier/  #
#####################################
#
# Columns:
#
# MMM  NNNN "CCCCCCCCCCCCCC" cccccc TT ttttt RR RR.R DDD DD MM.M DDDDDDDDD ddddd.ddd nnnnnnnn..
#
# MMM               Messier number
# NNNN              NGC number ("0000" if none)
# "CCCCCCCCCCCCCC"  Constellation (Full name)
# cccccc            Constellation (Abbrevation, file name)
# TT                Type of object
# ttttt             Subtype (i.e., type of cluster, nebula, or galaxy)
# RR RR.R           Right Ascension in hours and minutes
# DDD DD            Declination in degrees and minutes
# MM.M              Apparent visual magnitude
# DDDDDDDDD         Apparent (angular) diameter in arc minutes
# ddddd.ddd         distance in kilo-lightyears
# nnnnnnnn..        Name and/or comments
#
#####################################
#
# Types:
#
#   1  Open Cluster
#   2  Globular Cluster
#   3  Planetary Nebula
#   4  Diffuse Nebula
#   5  Spiral Galaxy
#   6  Elliptical Galaxy
#   7  Irregular Galaxy       (M82)
#   8  Lenticular (S0) Galaxy
#   9  Supernova Remnant      (M1)
#   A  System of 4 stars or Asterism (M73)
#   B  Milky Way Patch        (M24)
#   C  Binary star            (M40)
#
#####################################
#
# positions 2000.0 according to Sky Catalog 2000
# PN vis mag from Hynes
# Glob Cl vis mag and distances from Harris' database (29-Feb 96/15 May 97)
# vis mag's cross-checked with Sky Catalogue 2000.0 and Kenneth Glyn Jones
#   for galaxies adopted from Uroanometria 2000.0
# diameters from Bill Arnett's data file
# M63 dist from M51 (group)
# M77 quoted from HST PR
# M101, M81 group, M96 group distances from HST measurements
# Virgo cl distance 60 Mly assumed (HST via M96 gr)
#
#####################################
071  6838 "Sagitta"        Sge     2 X-XI  19 53.8 +18 47  8.2    7.2       12.7
072  6981 "Aquarius"       Aqr     2 IX    20 53.5 -12 32  9.3    5.9       55.4
073  6994 "Aquarius"       Aqr     A -     20 58.9 -12 38  9.0    2.8        2.0
074   628 "Pisces"         Psc     5 Sc    01 36.7 +15 47  9.4 10.2x9.5  35000
075  6864 "Sagittarius"    Sgr     2 I     20 06.1 -21 55  8.5    6.0       61.3
076   650 "Perseus"        Per     3 3+6   01 42.4 +51 34 10.1  2.7x1.8      3.4   Little Dumbbell Nebula
077  1068 "Cetus"          Cet     5 Sb    02 42.7 -00 01  8.9    7x6    60000     Cetus A
078  2068 "Orion"          Ori     4 R     05 46.7 +00 03  8.3    8x6        1.6
079  1904 "Lepus"          Lep     2 V     05 24.5 -24 33  7.7    8.7       42.1
080  6093 "Scorpius"       Sco     2 II    16 17.0 -22 59  7.3    8.9       32.6
081  3031 "Ursa Major"     UMa     5 Sb    09 55.6 +69 04  6.9   21x10   12000     Bode's Galaxy
082  3034 "Ursa Major"     UMa     7 Ir-II 09 55.8 +69 41  8.4    9x4    12000     Cigar Galaxy
083  5236 "Hydra"          Hya     5 SABc  13 37.0 -29 52  7.6   11x10   15000     Southern Pinwheel
084  4374 "Virgo"          Vir     8 S0    12 25.1 +12 53  9.1    5.0    60000
085  4382 "Coma Berenices" Com     8 S0    12 25.4 +18 11  9.1  7.1x5.2  60000
086  4406 "Virgo"          Vir     8 S0    12 26.2 +12 57  8.9  7.5x5.5  60000
087  4486 "Virgo"          Vir     6 E1    12 30.8 +12 24  8.6    7.0    60000     Virgo A
088  4501 "Coma Berenices" Com     5 Sc    12 32.0 +14 25  9.6    7x4    60000
089  4552 "Virgo"          Vir     6 E0    12 35.7 +12 33  9.8    4.0    60000
090  4569 "Virgo"          Vir     5 Sb    12 36.8 +13 10  9.5  9.5x4.5  60000
091  4548 "Coma Berenices" Com     5 SBb   12 35.4 +14 30 10.2  5.4x4.4  60000
092  6341 "Hercules"       Her     2 IV    17 17.1 +43 08  6.4   11.2       26.7
